41232;40624;44459;44125;43543;43419;40649;42288;43609;41892;40274;44034;42169;44239;42875;45115;41208;41839;41644;42026;45135;43166;44185;41381;42679;40223;43760;44370;44895;44816;41895;41189;42069;43607;41577
41005;40369;44207;43655;43233;42990;40312;41922;43340;41622;40031;43422;41848;43601;42498;44603;40868;41530;41543;41614;44685;42897;43781;40900;42393;39804;43418;43875;44465;44371;41609;40943;41730;43349;41348
42778;42066;45925;45038;44832;44433;41856;43487;45032;43303;41733;44590;43448;44738;44046;45912;42470;43160;43476;43059;46102;44597;45248;42274;44066;41261;44956;45208;45908;45811;43288;42665;43330;45063;43077
48308;47584;51232;50097;50008;49623;47159;48806;50448;48663;47194;49521;48771;49624;49355;50790;47887;48507;49042;48461;51148;49912;50487;47462;49448;46621;50135;50188;50919;50901;48978;48114;48731;50457;48644
54333;53710;57295;56449;56296;55953;53470;55038;56509;54903;53300;56011;54844;56040;55592;56865;54327;54721;55082;54881;57455;56042;56484;53934;55603;52921;56200;56489;57126;57089;55469;54234;55167;56441;54737
58835;58412;62321;61954;61801;61269;58759;60030;61292;60087;58109;61683;59680;61627;60598;62116;59544;59770;59876;60056;62950;61103;61235;59372;60568;57849;61279;62014;62544;62300;60415;59057;60458;61227;59358
57672;57471;61786;61682;61669;60833;58411;59261;60472;59637;57335;61450;58897;61338;59835;61679;58920;59130;59164;59491;62689;60545;60388;58957;59886;56977;60802;61807;62262;61776;59496;58247;59954;60505;58376
53224;53171;57739;57486;57730;56602;54385;54859;56252;55556;53182;57110;54671;56991;55430;57492;54511;54889;55134;55243;58519;56415;56153;54611;55672;52502;56797;57692;58147;57498;54951;54003;55653;56432;54108
47817;47789;52330;51966;52306;51110;49006;49353;50845;50116;47851;51533;49302;51427;49915;52083;48933;49432;49782;49789;52993;50970;50813;49048;50215;47041;51483;52224;52671;51991;49361;48600;50074;51046;48762
42338;42188;46481;46248;46444;45434;43258;43778;45131;44303;42207;45946;43702;45856;44330;46481;43301;43752;43938;44122;47225;45187;45211;43433;44465;41604;45747;46506;46912;46316;43739;42953;44312;45178;43161
36287;35908;39957;39777;39808;39018;36709;37557;38755;37772;35863;39571;37428;39517;38091;40167;36980;37390;37434;37643;40716;38744;38902;37068;38045;35465;39256;40012;40430;39960;37407;36649;37833;38638;36877
29741;29959;32891;34240;33831;32650;31548;31316;32332;32647;31011;34124;32357;34183;32220;34377;30421;29872;31907;32267;34048;33301;33136;30781;32272;30041;33367;34434;33858;33863;29871;29990;31203;33528;31404
25401;25639;28603;30014;29683;28437;27311;27072;28155;28417;26666;29920;28103;29982;27967;30139;26160;25601;27674;27998;29807;29033;28961;26420;28016;25706;29262;30193;29651;29680;25715;25676;26805;29341;27152
21968;22220;25221;26626;26232;24926;23909;23684;24713;25011;23253;26523;24715;26522;24531;26708;22784;22153;24241;24580;26380;25660;25538;22988;24596;22313;25801;26771;26239;26234;22312;22248;23387;25916;23721
19777;20019;23024;24453;24033;22694;21717;21503;22529;22817;21057;24359;22567;24331;22344;24529;20631;19918;22044;22400;24175;23478;23366;20784;22427;20091;23625;24588;24042;24040;20182;20059;21220;23722;21532
18561;18796;21802;23283;22776;21422;20487;20304;21338;21594;19817;23219;21435;23154;21132;23354;19440;18593;20803;21228;22914;22268;22204;19578;21270;18766;22434;23398;22788;22817;19033;18848;20086;22482;20324
19078;19193;22184;23706;22956;21671;20813;20700;21718;21910;20295;23713;22028;23584;21543;23782;19894;18709;21122;21786;23155;22646;22642;20101;21814;18945;22738;23809;22988;23096;19465;19346;20887;22741;20752
22870;22667;25664;27122;26447;25288;24346;24229;25352;25357;24123;27230;25729;27154;25186;27210;23560;22087;24735;25595;26562;26088;26252;23727;25518;22366;26311;27260;26298;26549;23093;23126;24875;26257;24432
30346;29758;32916;34150;33834;32712;31667;31437;32616;32547;31787;34267;32938;34274;32527;34206;30951;29440;32154;33022;33850;33306;33421;30926;32747;29848;33530;34377;33520;33738;30256;30589;32314;33612;31801
38253;37566;40961;42141;41866;40691;39620;39320;40431;40506;39809;42185;40787;42177;40452;42193;38842;37442;40099;40949;41971;41393;41238;38810;40574;37942;41354;42469;41717;41717;37895;38477;40206;41613;39699
41400;40698;44181;45488;45286;44115;42800;42438;43617;43750;42935;45484;43950;45570;43723;45691;41954;40724;43328;44110;45434;44709;44431;41999;43752;41126;44672;46000;45283;45140;40969;41605;43338;44924;42891
39806;39128;42683;44114;43840;42655;41227;40847;42026;42243;41307;44066;42421;44173;42216;44423;40349;39187;41762;42534;44081;43296;42876;40482;42207;39545;43163;44749;44022;43745;39316;39991;41792;43423;41320
39317;38644;42166;43678;43371;42225;40684;40298;41501;41735;40766;43615;41938;43770;41755;44091;39818;38687;41247;42015;43667;42827;42362;40036;41730;38996;42685;44404;43636;43322;38792;39482;41350;42921;40813
40006;39364;42779;44290;43933;42872;41274;40895;42078;42339;41405;44208;42554;44405;42399;44774;40426;39357;41855;42614;44305;43439;42933;40771;42368;39655;43239;45057;44247;43935;39384;40145;42068;43491;41435
40498;39928;43213;44644;44133;43171;41652;41314;42393;42718;41863;44540;42949;44720;42773;45125;40821;39792;42207;42996;44627;43820;43248;41340;42777;40152;43440;45371;44500;44214;39713;40610;42612;43768;41822
40303;39811;42905;44220;43540;42728;41298;41015;41988;42353;41620;44106;42614;44280;42413;44684;40488;39500;41827;42665;44154;43424;42832;41225;42474;39925;42879;44875;43915;43713;39324;40384;42478;43278;41492
42076;41702;44523;45677;44735;44173;42842;42647;43490;43890;43315;45570;44200;45744;43951;46117;42031;41111;43333;44277;45510;44897;44325;43136;44115;41600;44152;46223;45104;45054;40801;42118;44367;44624;43086
47586;47280;49761;50709;49777;49547;48112;47951;48794;49122;48750;50629;49392;50944;49237;51164;47240;46565;48637;49592;50582;49954;49548;48712;49440;47012;49272;51182;49961;50156;46021;47597;49858;49752;48437
53646;53523;56093;56952;56101;55842;54460;54300;55151;55489;54866;56879;55483;57172;55383;57233;53330;52938;54908;55793;56788;56175;55887;54848;55584;53314;55606;57267;56165;56421;52152;53712;55716;56081;54665
58395;58523;61576;62400;61376;60753;59809;59671;60332;60899;59803;62273;60567;62260;60347;62316;58388;58092;60022;60893;62039;61629;61161;59719;60568;58582;60774;62467;61595;61635;57074;58545;60298;61404;59714
57605;57888;61388;62129;60839;59856;59445;59336;59709;60564;59215;61921;60040;61560;59656;61715;57892;57530;59435;60334;61598;61441;60638;59006;59899;58272;60074;61989;61307;61066;56321;57805;59446;60962;59083
53501;53765;57380;57996;56467;55346;55310;55225;55327;56397;55214;57706;55927;57140;55430;57466;53886;53337;55207;56152;57432;57453;56299;54889;55681;54371;55554;57795;57160;56720;52047;53675;55419;56707;54858
48184;48393;51906;52501;50963;49805;49847;49754;49778;50898;49888;52164;50529;51581;50033;52035;48610;47939;49774;50663;52018;52036;50736;49501;50247;49080;49988;52349;51729;51219;46729;48326;50117;51219;49412
42478;42708;46024;46743;45408;44231;44109;43992;44150;45156;44085;46417;44824;45947;44406;46419;42975;42307;44125;44861;46356;46226;45069;43728;44570;43312;44501;46665;46071;45631;41341;42625;44301;45573;43726
36079;36329;39381;40268;39087;37960;37613;37494;37830;38668;37533;39983;38441;39657;38073;40129;36591;35891;37734;38369;39926;39649;38717;37291;38227;36709;38321;40274;39624;39322;35261;36225;37861;39164;37333
30595;28788;31791;33749;35049;32091;31579;30758;31336;32248;30513;31138;32311;32221;31752;33813;32125;28374;31897;31752;33440;34147;31151;30861;33339;30334;32808;34610;34986;33213;31405;30313;32160;32855;31329
26271;24632;27548;29517;30911;27897;27331;26499;27139;28123;26295;26858;28050;27905;27464;29554;27859;24080;27773;27473;29198;29967;26958;26621;29058;26035;28593;30416;30780;28945;27116;26087;28074;28680;27021
22846;21194;24096;26145;27489;24500;23909;23043;23707;24691;22824;23393;24613;24451;24007;26142;24473;20648;24314;24053;25735;26552;23493;23184;25646;22584;25189;27042;27361;25502;23738;22670;24597;25225;23593
20671;19043;21891;23978;25318;22322;21733;20843;21537;22502;20619;21166;22407;22242;21812;23954;22336;18473;22107;21888;23528;24359;21307;20979;23455;20376;23000;24863;25185;23308;21536;20491;22401;23021;21396
19504;17866;20649;22798;24161;21111;20536;19570;20365;21304;19369;19880;21166;20996;20615;22738;21230;17255;20830;20738;22318;23116;20091;19687;22252;19139;21801;23677;24016;22112;20282;19282;21129;21792;20169
20131;18293;20968;23183;24573;21404;20979;19874;20823;21557;19675;20115;21492;21376;21109;23088;21915;17699;20922;21341;22715;23340;20455;19895;22676;19550;22154;23983;24414;22560;20590;19682;21245;22072;20611
23996;22102;24528;26522;28149;24822;24653;23601;24526;24930;23346;23583;25012;24935;24822;26493;25720;21416;24334;25127;26294;26761;24169;23492;26176;23235;25598;27189;27762;26140;24070;23380;24876;25610;24307
31406;29550;31842;33529;35299;31947;31993;31228;31822;31910;30801;30888;32294;32227;32125;33622;32961;28822;31644;32423;33514;34051;31590;31072;33344;30636;32686;34049;34696;33315;31426;30805;32437;32888;31737
39246;37271;39782;41567;43162;39797;39870;39193;39634;39670;38699;38872;40271;40221;39998;41668;40772;36645;39570;40256;41464;42119;39440;39075;41352;38540;40560;42059;42751;41225;39459;38666;40300;40813;39684
42351;40373;43089;44961;46416;42972;43059;42442;42814;42874;41957;42222;43574;43596;43254;45102;43893;39801;42902;43419;44836;45509;42692;42319;44691;41732;43748;45452;46326;44536;42606;41775;43550;44125;42872
40743;38686;41593;43633;44905;41408;41495;40855;41233;41314;40383;40754;42095;42182;41745;43769;42338;38200;41371;41864;43412;44086;41123;40730;43287;40152;42211;44125;45129;43090;41025;40126;41899;42619;41305
40249;38141;41134;43220;44396;40878;40998;40359;40726;40786;39889;40318;41633;41793;41308;43382;41855;37725;40860;41392;42993;43610;40638;40204;42860;39659;41689;43691;44812;42667;40457;39565;41336;42128;40806
40919;38704;41784;43843;44931;41470;41623;40998;41318;41354;40513;41015;42284;42520;41996;44048;42475;38415;41421;42040;43649;44178;41247;40814;43522;40332;42288;44290;45462;43343;41059;40148;41849;42713;41464
41400;38974;42156;44195;45180;41837;42006;41349;41644;41665;40846;41444;42681;42973;42432;44421;42881;38870;41649;42465;44013;44432;41545;41152;43937;40789;42681;44630;45753;43759;41503;40510;42001;42998;41914
41200;38530;41792;43747;44673;41468;41667;40972;41248;41245;40456;41143;42340;42690;42160;44009;42570;38624;41110;42183;43634;43891;41113;40750;43598;40552;42345;44170;45220;43444;41220;40162;41402;42536;41656
42988;39944;43329;45148;46044;42987;43237;42460;42754;42728;41958;42758;43908;44332;43847;45460;44196;40299;42384;43855;45177;45159;42557;42192;45174;42279;43940;45570;46523;45070;42855;41719;42587;43952;43344
48472;45212;48659;50087;51141;48218;48541;47822;48024;47994;47343;48189;49224;49707;49285;50543;49411;45741;47566;49201;50477;50165;47862;47494;50381;47796;49221;50520;51403;50399;48165;47055;47792;49194;48769
54525;51373;54895;56267;57537;54590;54710;53940;54248;54535;53600;54437;55479;55770;55393;56671;55428;51745;54022;55270;56711;56495;54058;53733;56558;54009;55639;56890;57520;56570;54545;53331;54211;55584;54937
59292;56214;59914;61728;62973;59967;59717;58716;59292;60009;58519;59408;60608;60576;60180;61859;60393;56384;59331;60145;61759;61943;58931;58767;61756;58909;61080;62600;62817;61565;60028;58453;59325;60838;59903
58505;55352;59222;61516;62551;59588;59072;57877;58610;59559;57702;58683;60037;59783;59325;61394;59788;55486;58763;59417;61057;61619;58076;58142;61298;58158;60736;62520;62382;60875;59849;57884;58564;60257;59260
